field,value
truncation_scan[2].K_imag,-1.036724626015648018240639874164632165675780196868949938811229458017877433480014227165198967352239618e-73
truncation_scan[3].N,10
truncation_scan[3].delta_real,0.0000000000000001127669814077173504832833490561115131903752972889299855619320001012476057968891708346799543361662542
truncation_scan[3].kappa,281140410615279.8026182192418274430557044552025403760694088410071354572916559921192610053388034143849
truncation_scan[3].K_real,281140410615279.8026182192418274430557044552025403760694088410071354572916559921192610053388034143849
truncation_scan[3].K_imag,1.203732888132647775872607733766853107691562101166194167766535681509870351955775352949378288757424148e-73
truncation_scan[4].N,12
truncation_scan[4].delta_real,0.0000000000000001128148436758798542242597705408072933846594351229046858891603453376459599589070114437560809009990524
truncation_scan[4].kappa,281100675289931.0832612781218704880666237046840609086773463112015288850925104813691748433863790273738
truncation_scan[4].K_real,281100675289931.0832612781218704880666237046840609086773463112015288850925104813691748433863790273738
truncation_scan[4].K_imag,-1.076588858522926104994892385166836786766640027018977365772975744114974901998408870498877265015166283e-73
truncation_scan[5].N,16
truncation_scan[5].delta_real,0.0000000000000001128637153837101498742736597684842808968361432210552317441846307555033653386890443495667214597046776
truncation_scan[5].kappa,281060114865374.7942724207274466068231501978251478521506668462323435595474267573024636001959310459416
truncation_scan[5].K_real,281060114865374.7942724207274466068231501978251478521506668462323435595474267573024636001959310459416
truncation_scan[5].K_imag,1.19869370226358476229596679925517800679859478995648007674533258789490928851797396691070624503683902e-73
truncation_scan[6].N,20
truncation_scan[6].delta_real,0.000000000000000112886896732245355980284944074464955427796420158875813475464966186627316109123705855395167698947719
truncation_scan[6].kappa,281040880388080.8266138554152412497591502122026660844084339230894283870831400202832979522077911761155
truncation_scan[6].K_real,281040880388080.8266138554152412497591502122026660844084339230894283870831400202832979522077911761155
truncation_scan[6].K_imag,-7.727784268984123686015723548665216359338859816902116994077117811938465648368938521164072203168443572e-74
residual_branch.H_residual_km_s_Mpc,5.2
residual_branch.physical.h_average_s_inverse,0.000000000000000000168520523051106985051178690713239266673393684526419808399413072881104743975088073430069134861008497
residual_branch.physical.h_reference_s_inverse,0.000000000000000002352805764136609060522225566496378992401611826272707324961036363686193156267575794427503690559464785
residual_branch.physical.tau_average_s,425024460260518899.249366391184573002754820936639118457300275482093663911845730027548209366391184573
residual_branch.physical.l_effective_m,127419127651624281161421905.3558126721763085399449035812672176308539944903581267217630853994490358127
residual_branch.physical.tau_s,5.391247e-44
residual_branch.physical.duty_factor,1.268455701748420118771326701869690375364821255355725454757421241261409779514809919897989598921764285e-61
residual_branch.physical.h_instantaneous_s_inverse,1328548744893659665190765003614845725079726.095210504054556780627896878502215769692612670262789563069
residual_branch.physical.beta,1331897014191340948339554916242.395194377808729179373058559760765926891023112737522270579823519083829
residual_branch.finite_lattice_solution.delta.real,0.0000000000000002178140007294929679677676071198778966334585343436839752858202976001331119307499006063924948909467166
residual_branch.finite_lattice_solution.delta.imag,0.0
residual_branch.finite_lattice_solution.phi.real,0.0
residual_branch.finite_lattice_solution.phi.imag,1.000000000000000217814000729492967967767607119877896633458534343683975285820297600133111930749900606
residual_branch.finite_lattice_solution.g2.real,188.795904624912584528027116820309652514063177103630268816650968229028954095847870842916245557522517
residual_branch.finite_lattice_solution.g2.imag,2.426536381717246647234105111880556119610749794320339223121684569239018476934697983288657418563841423e-102
residual_branch.finite_lattice_solution.g3.real,0.0000000000004130884300539431781134695935705785055480425458823242669299193436239342187526296033375681626400938573
residual_branch.finite_lattice_solution.g3.imag,-2.778942160925895538006704881715427629496287670899622828389970612263228075009001117758738696031878064e-101
residual_branch.finite_lattice_solution.K.real,145478785027395.0679838957088139308894342263164963235029100643680793955593338351299577323400292937
residual_branch.finite_lattice_solution.K.imag,9.786696983503280174530677378938351811763814424266552775941703919244572193741990457672634032834402618e-75
residual_branch.finite_lattice_solution.kappa,145478785027395.0679838957088139308894342263164963235029100643680793955593338351299577323400292937
residual_branch.finite_lattice_solution.phase_rad,6.727233102517559582767243640984359372700577135519073080261964040720949092663516805604098640839727197e-89
residual_branch.finite_lattice_solution.B_mod.real,1331897014191340948339554916242.395194377808729179373058559760765926891023112737522270558897151062345
residual_branch.finite_lattice_solution.B_mod.imag,1.791996336602457901663021975930232523922914563064577547483092809055676728749811723853890255890242893e-58
residual_branch.finite_lattice_solution.B_mod_alt.real,1331897014191340948339554916242.395194377808729179373058559760765926891023112737522270558897151062345
residual_branch.finite_lattice_solution.B_mod_alt.imag,1.791996336602457901663021975930232523922914563064577547483092809055676728749811723853890255890242893e-58
residual_branch.finite_lattice_solution.discriminant.real,6729421.137158779224278931010832035375044477329537339975836700678898043732077738775438888821190864648
residual_branch.finite_lattice_solution.discriminant.imag,2.594736138422275353988026728749860532498608850620519500615618931628884540061793575254932075043927438e-97
residual_branch.finite_lattice_solution.j_invariant.real,1728.000000000000000000000000001183084751460569355390627404070989953641885096662045686389716145291483
residual_branch.finite_lattice_solution.j_invariant.imag,-1.591777380621860525197257621443331763035700393962050872307043219525888074407264926776368579395974588e-115
residual_branch.finite_lattice_solution.target.real,1331897014191340948339554916242.395194377808729179373058559760765926891023112737522270579823519083829
residual_branch.finite_lattice_solution.target.imag,0.0
residual_branch.finite_lattice_solution.closure_residual.real,-2.09263680214842245434909051800485770374450457582989914820140625289942058467969934753213535475872669e-56
residual_branch.finite_lattice_solution.closure_residual.imag,1.791996336602457901663021975930232523922914563064577547483092809055676728749811723853890255890242893e-58
residual_branch.finite_lattice_solution.alternate_form_residual.real,-1.81113581576534247350182385817755835613650623962782763791652297798710026371856902294790629039219162e-71
residual_branch.finite_lattice_solution.alternate_form_residual.imag,-4.55220991894543868609067707242610707847685030188013116105439351391984764713752337947764580712916736e-159
residual_branch.kappa_ratio_to_principal,0.5173288288520657737604954182617542399555390502321509314014290653182247240595537862573978543752863118
